PDBs	SD
Different	5.700474316835
Different	0.56744265795497
Different	1.53725954218698
Different	0.262747390047932
Different	1.82712856724698
Same	0.802862474388053
Same	2.47042603249925
Same	1.92204987444668
Different	0.888884437377716
Different	1.05599114570365
Same	0.0250549145777812
Same	4.1802300283982
Same	0.238492975158599
Different	0.325886309320188
Different	1.77570302033814
Different	0.159502076632253
Same	0.892806456954978
Different	2.10780362311322
Same	0.545885727969234
Different	1.30729109929656
Different	0.584172731743363
Same	0.00155351359826355
Different	0.799463412090884
Same	0.243785502027226
Different	1.39267715616375
Same	0.282260056486924
Same	0.696408255587196
Different	2.02080370583319
Different	0.539655410120198
Different	0.776048823508117
Different	0.835087244348158
Different	0.110247139575137
Same	0.663883464972958
Different	6.31136289276037
Different	0.491832830707072
Different	1.63544135347078
Different	0.270932698006967
Different	0.154586977396225
Different	3.29073495249952
Same	0.311733681340338
Same	0.364284443104558
Same	0.539518938511427
Different	0.927919258388356
Different	0.990152172842874
Same	1.17651759281832
Different	1.42230123155481
Different	0.805748490031266
Different	0.544375821199565
Different	0.764432635044123
Different	3.81586073247989
Different	0.844015381946325
Same	1.3599402884899
Different	0.794432334797935
Same	0.161716027964145
Same	0.504802823982294
Different	1.81990587719283
Different	0.471498907656564
Different	0.711854935546796
Different	0.370081304496726
Same	0.130306344743837
Same	1.18542936028386
Same	0.281219902411792
Same	1.25899725994162
Different	0.511469528770044
Same	4.52830192722372
Different	0.660840077386733
Different	0.00163817947734601
Same	0.0654852368572491
Different	2.16128318650696
Same	1.43950960036327
Same	0.455248073649963
Different	0.167967559016618
Different	1.56377654608899
Different	1.9762658726806
Same	1.77166876818496
Different	0.745394448426414
Same	0.29030622455004
Same	1.48468665261327
Different	0.800655312209444
Different	2.16634260235241
Different	0.616576368745835
Same	0.200828932458695
Different	0.315947330649427
Different	1.42359974968591
Different	0.689519621324879
Same	0.235702835013353
Different	1.37862196216331
Different	0.913739668754911
Same	1.84491088858026
Same	0.403284917620907
Different	0.798028692431862
Same	0.358826285860583
Different	0.512223909650846
Different	0.31617178938751
Different	1.33994967267898
Different	0.33614815197308
Different	0.558473181944217
Different	0.216758634025266
Different	1.12510234828325
Different	1.03993416491646
Same	0.264509554958792
Same	0.263028166252209
Different	0.121703232694536
Same	0.719916935905108
Different	0.786082466595796
Different	0.140000071607123
Same	0.729321954931084
Different	0.457196486479245
Different	0.980892740734003
Different	0.345054674190196
Different	0.497602844833107
Different	0.385821534239602
Same	0.165177315658052
Different	1.67602707917562
Same	0.618455389815629
Different	0.88143637373754
Different	0.955794551937286
Different	0.918754173937188
Different	2.16153712417676
Different	0.50425430038457
Different	0.778909638520605
Different	2.14302375043603
Same	0.262544505213877
Different	0.834627395423202
Different	0.708653223717002
Different	0.945536823841624
Different	0.767520297049329
Different	0.0950104026541272
Different	0.685219655203131
Same	1.79198606732879
Different	1.12090555469421
Same	0.000297691954881581
Different	1.09603397008021
Same	0.660066502568113
Different	6.15257711529746
Different	0.617997708871426
Different	1.69558053726026
Same	0.252841585962439
Same	0.0091782460198006
Same	0.167870685387594
Different	0.332669698917712
Different	1.00326634840112
Different	0.517298929545287
Different	0.659540461160634
Different	0.402173375081777
Different	1.10698416114791
Same	0.96494124813094
Different	1.33606781415179
Different	0.626416094626693
Different	0.821988342225397
